18-069034-FC01,5/1/2018,Henry,"115 Willow Hill Lane Stockbridge, Georgia",30281,"Mortgage Electronic Registration Systems, Inc. as nominee for Countrywide Bank, FSB, its successors and assigns",8/31/2007,164000,,Auction.com
18-068789-FC01,5/1/2018,Houston,"315 Rusty Road Warner Robins, Georgia",31088,"Wells Fargo Financial Georgia, Inc.",4/14/2008,89847.08,33119.34,
18-068503-FC01,5/1/2018,Houston,"125 Ticonderoga Drive Byron, Georgia",31008,"Mortgage Electronic Registration Systems, Inc. as nominee for Home America Mortgage, Inc., its successors and assigns",9/4/2008,98940,,ServiceLink Auction
18-068723-FC01,5/1/2018,Jasper,"78 Kingfisher Court Monticello, Georgia",31064,"Mortgage Electronic Registration Systems, Inc., as nominee for Countrywide Home Loans, Inc., its successor and assigns",1/25/2006,89500,71400,
18-068685-FC01,5/1/2018,Jones,"235 Eagle Drive Macon, Georgia",31211,"Mortgage Electronic Registration Systems, Inc., as nominee for Envoy Mortgage, Ltd., its successors and assigns",2/24/2011,193955,,Chronos Solutions
18-068626-FC01,5/1/2018,Laurens,"350 Gettys Road Dublin, Georgia",31021,"Mortgage Electronic Registration Systems, Inc. as nominee for KLW, Inc., dba Northside Mortgage, its successors and assigns",9/5/2008,73023,,ServiceLink Auction
17-067598-FC02,5/1/2018,Lee,"200 Firetower Road Leesburg, Georgia",31763,"Mortgage Electronic Registration Systems, Inc., as nominee for Taylor, Bean & Whitaker Mortgage Corp., its successors and assigns",3/19/2009,131257,,Auction.com
18-068883-FC01,5/1/2018,Lee,"258 Lumpkin Road W Leesburg, Georgia",31763,"Mortgage Electronic Registration Systems, Inc., as nominee for Taylor, Bean & Whitaker Mortgage Corp., its successors and assigns",5/26/2009,124053,,Chronos Solutions
13-044546-FC03,5/1/2018,Liberty,"911 Ringneck Way Hinesville, Georgia",31313,"Mortgage Electronic Registration Systems, Inc. as nominee for Infinity Mortgage Corporation d/b/a Res-Com Financial",6/16/2004,87300,,Auction.com
15-056125-FC02,5/1/2018,Lumpkin,"58 Talonega Trail Dawsonville, Georgia",30534,"Buckhead Mortgage Associates, Inc.",8/22/2006,116217,227634.27,
18-068341-FC01,5/1/2018,Miller,"2691 Highway 91 Donalsonville, Georgia",39845,"Mortgage Electronic Registration Systems, Inc. as nominee for Primary Residential Mortgage , Inc.",12/8/2015,216015,,Auction.com
17-067364-FC02,5/1/2018,Muscogee,"4208 King Arthur Place Columbus, Georgia",31907,"Mortgage Electronic Registration Systems, Inc. as nominee for Oceanside Mortgage Company, its successors and assigns",5/23/2009,162208,,Auction.com
18-068802-FC01,5/1/2018,Muscogee,"4008 Countryside Drive Columbus, Georgia",31907,"Mortgage Electronic Registration Systems, Inc. as Nominee for First Franklin Financial Corp., an Op. Sub. of MLB&T Co., FSB, its successors and assigns",3/6/2007,149909,,Xome.com
18-068644-FC01,5/1/2018,Newton,"145 Adrians Lane Covington, Georgia",30016,"Mortgage Electronic Registration Systems, Inc. as nominee for Taylor, Bean & Whitaker Mortgage Corp.",11/14/2006,184000,,Auction.com
15-054511-FC03,5/1/2018,Paulding,"2226 Cleburne Parkway Powder Springs, Georgia",30127,"Wachovia Bank, National Association",2/15/2008,63951,77674.96,
09-015235-FC03,5/1/2018,Paulding,"290 Fairview Oak Place Dallas, Georgia",30157,"Preferred Lending Group, Inc.",10/2/2003,127525,,ServiceLink Auction
10-000039-FC03,5/1/2018,Paulding,"6 Wellspring Pointe Hiram, Georgia",30141,Apricot One Financial Services DBA First Mortgage Banc of Georgia,4/1/1999,94836,,Auction.com
17-063864-FC02,5/1/2018,Paulding,"3045 Marshall Fuller Road Dallas, Georgia",30157,"Wachovia Bank, National Association",3/19/2008,110692.4,111045.57,
17-067472-FC02,5/1/2018,Peach,"1084 Kay Road Byron, Georgia",31008,"Mortgage Electronic Registration Systems, Inc. as nominee for Primary Residential Mortgage, Inc.",12/4/2012,176739,,Auction.com
17-067816-FC01,5/1/2018,Rabun,"254 Missouri Lane Lakemont, Georgia",30552,"Mortgage Electronic Registration Systems, Inc., as nominee for Taylor, Bean & Whitaker Mortgage Corp., its successors and assigns",8/15/2008,79068,,ServiceLink Auction
17-067383-FC02,5/1/2018,Richmond,"4003 Indian Hills Drive Augusta, Georgia",30906,"Wells Fargo Bank, N.A.",11/29/2006,126022,,Auction.com
16-058441-FC02,5/1/2018,Richmond,"3851 Crest Drive Hephzibah, Georgia",30815,"Bank of America, N.A.",11/9/2006,103870,,Xome.com
17-067631-FC02,5/1/2018,Richmond,"2334 Travis Road Augusta, Georgia",30906,"Mortgage Electronic Registration Systems, Inc. as nominee for Mortgage Lenders Network USA, Inc.",6/10/2004,58000,,Auction.com
18-068635-FC01,5/1/2018,Richmond,"3715 Teakwood Court Hephzibah, Georgia",30815,"Secretary of Veterans Affairs, an Officer of the United States of America",1/21/2000,70600,52500,
18-068596-FC01,5/1/2018,Richmond,"3303 Rushing Road Augusta, Georgia",30906,First Union National Bank,8/8/2001,23000,32945,
18-068885-FC01,5/1/2018,Richmond,"1729 Kissingbower Road Augusta, Georgia",30904,"Mortgage Electronic Registration Systems, Inc. as nominee for Franklin American Mortgage Company, its successors and assigns",9/10/2009,127991,,Chronos Solutions
18-068790-FC01,5/1/2018,Richmond,"3705 Tahitian Trail Hephzibah, Georgia",30815,"Wells Fargo Bank, N.A.",3/21/2016,52000,31098.5,
18-068737-FC01,5/1/2018,Richmond,"1439 Hephzibah Mcbean Road Hephzibah, Georgia",30815,"Regions Mortgage, Inc.",5/4/2001,47100,,Auction.com
18-068747-FC01,5/1/2018,Richmond,"2703 Castletown Drive Hephzibah, Georgia",30815,Wachovia Mortgage Corporation,4/3/2006,78650,,Chronos Solutions
18-068534-FC01,5/1/2018,Rockdale,"1406 Windy Ridge Court SE Conyers, Georgia",30013,"Mortgage Electronic Registration Systems, Inc. as nominee for Taylor, Bean & Whitaker Mortgage Corp., its successors and assigns",3/28/2007,161994,,ServiceLink Auction
18-068276-FC02,5/1/2018,Rockdale,"1078 W Adrian Circle SW Conyers, Georgia",30094,"Mortgage Electronic Registration Systems, Inc. as nominee for Countrywide Home Loans, Inc., its successors and assigns",2/26/2006,57650,,Auction.com
18-069204-FC01,5/1/2018,Spalding,"1483 Cowan Road Griffin, Georgia",30223,"Mortgage Electronic Registration Systems, Inc. as nominee for NFM, Inc. D/B/A National Fidelity Mortgage Corporation, A Maryland Corporation, its successors and assigns",1/15/2010,220797,,Altisource
18-068775-FC01,5/1/2018,Stephens,"262 Fieldcrest Drive Eastanollee, Georgia",30538,"Mortgage Electronic Registration Systems, Inc. as nominee for Homestar Financial Corp., its successors and assigns",10/31/2008,154400,,Chronos Solutions
17-067153-FC02,5/1/2018,Sumter,"909 Cypress Drive Americus, Georgia",31719,"Mortgage Electronic Registration Systems, Inc. as nominee for Residential Finance Corporation",11/19/2010,103020,,Auction.com
18-068819-FC01,5/1/2018,Taylor,"52 Hillcrest Circle Butler, Georgia",31006,"Mortgage Electronic Registration Systems, Inc. as nominee for AmericaHomeKey, Inc., its successors and assigns",1/29/2010,96900,,Altisource
15-052501-FC01,5/1/2018,Thomas,"505 Park Ave Thomasville, Georgia",31792,"Mortgage Electronic Registration Systems, Inc., as a nominee for EverBank, its successors and assigns",9/12/2013,37500,,Auction.com
18-068785-FC01,5/1/2018,Troup,"703 Callaway Avenue Lagrange, Georgia",30240,"Mortgage Electronic Registration Systems, Inc. as nominee for Quicken Loans, Inc., its successors and assigns",6/17/2016,43650,,Auction.com
17-063470-FC04,5/1/2018,Troup,"1 Robertson Street LaGrange, Georgia",30240,PHH Mortgage Services,9/2/2005,42000,,Auction.com
17-067790-FC02,5/1/2018,Turner,"215 Hudson Avenue Ashburn, Georgia",31714,"Mortgage Electronic Registration Systems, Inc., as nominee for Taylor, Bean & Whitaker Mortgage Corp., its successors and assigns",5/6/2009,71225,,Auction.com
17-064809-FC04,5/1/2018,Union,"90 Suches View Drive f/k/a 2520 Suches View Drive Suches, Georgia",30572,"Mortgage Electronic Registration Systems, Inc. as nominee for United Community Mortgage Services, Inc., its successors and assigns",3/11/2008,125000,,Auction.com
13-042633-FC01,5/1/2018,Upson,"23 Spur 22 Culloden, Georgia",31016,"Corewest Banc, dba Corewest Mortgage Company",8/20/1998,67600,41233.68,
17-066997-FC01,5/1/2018,Upson,"2718 Triune Mill Rd Thomaston, Georgia",30286,"Mortgage Electronic Registration Systems, Inc. as nominee for Taylor, Bean & Whitaker Mortgage Corp., its successors and assigns",11/17/2006,142100,,ServiceLink Auction
18-068976-FC01,5/1/2018,Walker,"176 Glenn Wade Drive Rossville, Georgia",30741,"Mortgage Electronic Registration Systems, Inc., as nominee for Carrington Mortgage Services, LLC, its successors and assigns",10/25/2014,89000,86749.93,
18-069016-FC01,5/1/2018,Walton,"519 Gatewood Drive Monroe, Georgia",30656,"Washington Mutual Bank, FA",5/11/2005,60547,,Auction.com
15-051523-FC04,5/1/2018,Ware,"1088 Washington Street Waycross, Georgia",31503,"Mortgage Electronic Registration Systems, Inc. as nominee for PrimeSouth Bank dba PrimeSouth Mortgage, its successors and assigns",6/16/2014,91734,37440,
17-064767-FC01,5/1/2018,Whitfield,"5003 Village Drive Cohutta, Georgia",30710,"Mortgage Electronic Registration Systems, Inc., as nominee for Countrywide Home Loans, Inc., its successors and assigns",7/20/2007,103655,87500,
